Date,DateTime,FunctionName,Value,Time,shift_wise
03-04-2023,6,Opening,1,6,1
03-04-2023,7,Opening,0,7,1
03-04-2023,8,Opening,0,8,1
03-04-2023,9,Opening,0,9,1
03-04-2023,10,Opening,0,10,1
03-04-2023,11,Opening,0,11,1
03-04-2023,12,Opening,0,12,1
03-04-2023,13,Opening,0,13,1
03-04-2023,14,Opening,0,14,1
03-04-2023,15,Opening,0,15,1
03-04-2023,16,Opening,0,16,1
03-04-2023,17,Opening,0,17,1
03-04-2023,18,Opening,0,18,1
03-04-2023,19,Opening,0,19,1
03-04-2023,20,Opening,0,20,1
03-04-2023,21,Opening,0,21,1
03-04-2023,22,Opening,0,22,1
03-04-2023,23,Opening,0,23,1
04-04-2023,24,Opening,0,0,1
04-04-2023,25,Opening,0,1,1
04-04-2023,26,Opening,0,2,1
04-04-2023,27,Opening,0,3,1
04-04-2023,28,Opening,0,4,1
04-04-2023,29,Opening,0,5,1
03-04-2023,6,Drinks Drawer,0,6,1
03-04-2023,6,Drinks Drawer,0,6,1
03-04-2023,7,Drinks Drawer,0,7,1
03-04-2023,7,Drinks Drawer,0,7,1
03-04-2023,8,Drinks Drawer,0,8,1
03-04-2023,8,Drinks Drawer,0,8,1
03-04-2023,9,Drinks Drawer,0,9,1
03-04-2023,9,Drinks Drawer,0,9,1
03-04-2023,10,Drinks Drawer,0,10,1
03-04-2023,10,Drinks Drawer,0,10,1
03-04-2023,11,Drinks Drawer,0,11,1
03-04-2023,11,Drinks Drawer,0,11,1
03-04-2023,12,Drinks Drawer,0,12,1
03-04-2023,12,Drinks Drawer,0,12,1
03-04-2023,13,Drinks Drawer,0,13,1
03-04-2023,13,Drinks Drawer,0,13,1
03-04-2023,14,Drinks Drawer,0,14,1
03-04-2023,14,Drinks Drawer,0,14,1
03-04-2023,15,Drinks Drawer,0,15,1
03-04-2023,15,Drinks Drawer,0,15,1
03-04-2023,16,Drinks Drawer,0,16,1
03-04-2023,16,Drinks Drawer,0,16,1
03-04-2023,17,Drinks Drawer,0,17,1
03-04-2023,17,Drinks Drawer,0,17,1
03-04-2023,18,Drinks Drawer,0,18,1
03-04-2023,18,Drinks Drawer,0,18,1
03-04-2023,19,Drinks Drawer,0,19,1
03-04-2023,19,Drinks Drawer,0,19,1
03-04-2023,20,Drinks Drawer,0,20,1
03-04-2023,20,Drinks Drawer,0,20,1
03-04-2023,21,Drinks Drawer,0,21,1
03-04-2023,21,Drinks Drawer,0,21,1
03-04-2023,22,Drinks Drawer,0,22,1
03-04-2023,22,Drinks Drawer,0,22,1
03-04-2023,23,Drinks Drawer,0,23,1
03-04-2023,23,Drinks Drawer,0,23,1
04-04-2023,24,Drinks Drawer,0,0,1
04-04-2023,24,Drinks Drawer,0,0,1
04-04-2023,25,Drinks Drawer,0,1,1
04-04-2023,25,Drinks Drawer,0,1,1
04-04-2023,26,Drinks Drawer,0,2,1
04-04-2023,26,Drinks Drawer,0,2,1
04-04-2023,27,Drinks Drawer,0,3,1
04-04-2023,27,Drinks Drawer,0,3,1
04-04-2023,28,Drinks Drawer,0,4,1
04-04-2023,28,Drinks Drawer,0,4,1
04-04-2023,29,Drinks Drawer,0,5,1
04-04-2023,29,Drinks Drawer,0,5,1
03-04-2023,6,MDS - DASS,0,6,1
03-04-2023,6,MDS - DASS,0,6,1
03-04-2023,7,MDS - DASS,0,7,1
03-04-2023,7,MDS - DASS,0,7,1
03-04-2023,8,MDS - DASS,0,8,1
03-04-2023,8,MDS - DASS,0,8,1
03-04-2023,9,MDS - DASS,0,9,1
03-04-2023,9,MDS - DASS,0,9,1
03-04-2023,10,MDS - DASS,0,10,1
03-04-2023,10,MDS - DASS,0,10,1
03-04-2023,11,MDS - DASS,0,11,1
03-04-2023,11,MDS - DASS,0,11,1
03-04-2023,12,MDS - DASS,1,12,1
03-04-2023,12,MDS - DASS,0,12,1
03-04-2023,13,MDS - DASS,1,13,1
03-04-2023,13,MDS - DASS,0,13,1
03-04-2023,14,MDS - DASS,1,14,1
03-04-2023,14,MDS - DASS,0,14,1
03-04-2023,15,MDS - DASS,1,15,1
03-04-2023,15,MDS - DASS,0,15,1
03-04-2023,16,MDS - DASS,1,16,1
03-04-2023,16,MDS - DASS,0,16,1
03-04-2023,17,MDS - DASS,1,17,1
03-04-2023,17,MDS - DASS,0,17,1
03-04-2023,18,MDS - DASS,1,18,1
03-04-2023,18,MDS - DASS,0,18,1
03-04-2023,19,MDS - DASS,1,19,1
03-04-2023,19,MDS - DASS,0,19,1
03-04-2023,20,MDS - DASS,1,20,1
03-04-2023,20,MDS - DASS,0,20,1
03-04-2023,21,MDS - DASS,1,21,1
03-04-2023,21,MDS - DASS,0,21,1
03-04-2023,22,MDS - DASS,1,22,1
03-04-2023,22,MDS - DASS,0,22,1
03-04-2023,23,MDS - DASS,1,23,1
03-04-2023,23,MDS - DASS,0,23,1
04-04-2023,24,MDS - DASS,1,0,1
04-04-2023,24,MDS - DASS,0,0,1
04-04-2023,25,MDS - DASS,1,1,1
04-04-2023,25,MDS - DASS,0,1,1
04-04-2023,26,MDS - DASS,0,2,1
04-04-2023,26,MDS - DASS,0,2,1
04-04-2023,27,MDS - DASS,0,3,1
04-04-2023,27,MDS - DASS,0,3,1
04-04-2023,28,MDS - DASS,0,4,1
04-04-2023,28,MDS - DASS,0,4,1
04-04-2023,29,MDS - DASS,0,5,1
04-04-2023,29,MDS - DASS,0,5,1
03-04-2023,6,McFood,0,6,1
03-04-2023,6,McFood,0,6,1
03-04-2023,7,McFood,0,7,1
03-04-2023,7,McFood,0,7,1
03-04-2023,8,McFood,0,8,1
03-04-2023,8,McFood,0,8,1
03-04-2023,9,McFood,0,9,1
03-04-2023,9,McFood,0,9,1
03-04-2023,10,McFood,0,10,1
03-04-2023,10,McFood,0,10,1
03-04-2023,11,McFood,0,11,1
03-04-2023,11,McFood,0,11,1
03-04-2023,12,McFood,0,12,1
