,countrycode,machineType,yrnqlt,mincap,maxcap
0,BGD,BF01,NORMAL,4.0,12.0
1,BGD,BF01,FIL,4.0,12.0
2,BGD,BF02,NORMAL,4.0,12.0
3,BGD,BF02,FIL,4.0,12.0
4,BGD,BF03,NORMAL,4.0,12.0
5,BGD,BF03,FIL,4.0,12.0
6,BGD,BF04,NORMAL,4.0,12.0
7,BGD,BF04,FIL,4.0,12.0
8,BGD,BF05,NORMAL,4.0,12.0
9,BGD,BF05,FIL,4.0,12.0
10,BGD,BF06,NORMAL,4.0,12.0
11,BGD,BF06,FIL,4.0,12.0
12,BGD,BF07,NORMAL,4.0,12.0
13,BGD,BF07,FIL,4.0,12.0
14,BGD,BF08,NORMAL,4.0,12.0
15,BGD,BF08,FIL,4.0,12.0
16,BGD,C01,NORMAL,201.0,400.0
17,BGD,C01,FIL,201.0,400.0
18,BGD,C02,NORMAL,101.0,200.0
19,BGD,C02,FIL,101.0,200.0
20,BGD,C04,NORMAL,13.0,50.0
21,BGD,C04,FIL,0.0,0.0
22,BGD,C05,NORMAL,51.0,100.0
23,BGD,C05,FIL,13.0,100.0
24,BGD,C06,NORMAL,101.0,200.0
25,BGD,C06,FIL,101.0,200.0
26,BGD,C07,NORMAL,101.0,200.0
27,BGD,C07,FIL,101.0,200.0
28,BGD,C08,NORMAL,101.0,200.0
29,BGD,C08,FIL,101.0,200.0
30,BGD,C62,NORMAL,1.0,3.0
31,BGD,C62,FIL,1.0,3.0
32,MAU,F001,NORMAL,1.0,6.0
33,MAU,F001,FIL,3.0,5.0
34,MAU,F002,NORMAL,1.0,6.0
35,MAU,F002,FIL,3.0,5.0
36,MAU,F003,NORMAL,1.0,6.0
37,MAU,F003,FIL,3.0,5.0
38,MAU,F004,NORMAL,1.0,6.0
39,MAU,F004,FIL,3.0,5.0
40,MAU,F005,NORMAL,1.0,6.0
41,MAU,F005,FIL,3.0,5.0
42,MAU,F006,NORMAL,1.0,6.0
43,MAU,F006,FIL,3.0,5.0
44,MAU,F007,NORMAL,1.0,6.0
45,MAU,F007,FIL,3.0,5.0
46,MAU,F008,NORMAL,1.0,6.0
47,MAU,F008,FIL,3.0,5.0
48,MAU,F09,NORMAL,13.0,48.0
49,MAU,F09,FIL,10.0,36.0
50,MAU,F10,NORMAL,13.0,48.0
51,MAU,F10,FIL,10.0,36.0
52,MAU,F11,NORMAL,48.0,96.0
53,MAU,F11,FIL,36.0,72.0
54,MAU,F12,NORMAL,48.0,96.0
55,MAU,F12,FIL,36.0,72.0
56,MAU,F13,NORMAL,97.0,192.0
57,MAU,F13,FIL,73.0,144.0
58,MAU,F14,NORMAL,193.0,396.0
59,MAU,F14,FIL,145.0,297.0
60,MAU,F15,NORMAL,397.0,836.0
61,MAU,F15,FIL,298.0,627.0
62,MAU,F16,NORMAL,397.0,836.0
63,MAU,F16,FIL,298.0,627.0
64,BGD,F17,NORMAL,4.0,12.0
65,BGD,F17,FIL,4.0,12.0
66,MAU,F18,NORMAL,7.0,12.0
67,MAU,F18,FIL,6.0,9.0
68,MAU,F19,NORMAL,7.0,12.0
69,MAU,F19,FIL,6.0,9.0
70,MAU,F20,NORMAL,7.0,12.0
71,MAU,F20,FIL,6.0,9.0
72,MAU,F21,NORMAL,7.0,12.0
73,MAU,F21,FIL,6.0,9.0
74,MAU,F22,NORMAL,7.0,12.0
75,MAU,F22,FIL,6.0,9.0
76,MAU,F23,NORMAL,7.0,12.0
77,MAU,F23,FIL,6.0,9.0
78,MAU,F24,NORMAL,7.0,12.0
79,MAU,F24,FIL,6.0,9.0
80,BGD,TY01,NORMAL,1.0,3.0
81,BGD,TY01,FIL,1.0,3.0
